Date,Value
1871-01-01,11.1
1871-02-01,11.25
1871-03-01,11.53
1871-04-01,11.85
1871-05-01,12.15
1871-06-01,12.05
1871-07-01,11.83
1871-08-01,11.98
1871-09-01,12.1
1871-10-01,11.48
1871-11-01,11.6
1871-12-01,11.85
1872-01-01,12.15
1872-02-01,11.9
1872-03-01,12.29
1872-04-01,12.63
1872-05-01,12.63
1872-06-01,12.21
1872-07-01,12.14
1872-08-01,12.0
1872-09-01,11.79
1872-10-01,11.56
1872-11-01,11.51
1872-12-01,11.79
1873-01-01,11.88
1873-02-01,11.7
1873-03-01,11.61
1873-04-01,11.45
1873-05-01,11.48
1873-06-01,11.07
1873-07-01,11.04
1873-08-01,11.04
1873-09-01,10.2
1873-10-01,9.11
1873-11-01,8.78
1873-12-01,9.61
1874-01-01,10.13
1874-02-01,10.43
1874-03-01,10.28
1874-04-01,10.0
1874-05-01,9.74
1874-06-01,9.7
1874-07-01,9.7
1874-08-01,9.72
1874-09-01,9.87
1874-10-01,9.85
1874-11-01,9.93
1874-12-01,9.87
1875-01-01,10.09
1875-02-01,10.3
1875-03-01,10.43
1875-04-01,10.81
1875-05-01,10.64
1875-06-01,10.68
1875-07-01,10.98
1875-08-01,11.31
1875-09-01,11.21
1875-10-01,11.32
1875-11-01,11.81
1875-12-01,12.14
1876-01-01,12.74
1876-02-01,12.91
1876-03-01,13.26
1876-04-01,13.15
1876-05-01,12.67
1876-06-01,12.97
1876-07-01,13.23
1876-08-01,12.68
1876-09-01,12.3
1876-10-01,12.66
1876-11-01,12.41
1876-12-01,12.79
1877-01-01,12.68
1877-02-01,11.93
1877-03-01,10.93
1877-04-01,10.14
1877-05-01,10.14
1877-06-01,9.41
1877-07-01,9.83
1877-08-01,10.52
1877-09-01,10.8
1877-10-01,11.03
1877-11-01,10.87
1877-12-01,10.83
1878-01-01,10.83
1878-02-01,10.6
1878-03-01,10.8
1878-04-01,11.1
1878-05-01,11.13
1878-06-01,11.0
1878-07-01,11.23
1878-08-01,11.13
1878-09-01,11.35
1878-10-01,11.23
1878-11-01,11.19
1878-12-01,11.13
1879-01-01,11.19
1879-02-01,11.59
1879-03-01,11.06
1879-04-01,11.42
1879-05-01,11.59
1879-06-01,11.31
1879-07-01,11.54
1879-08-01,11.31
1879-09-01,11.72
1879-10-01,12.65
1879-11-01,13.32
1879-12-01,12.95
1880-01-01,13.1
1880-02-01,13.0
1880-03-01,12.93
1880-04-01,12.33
1880-05-01,11.09
1880-06-01,10.89
1880-07-01,11.39
1880-08-01,11.53
1880-09-01,11.26
1880-10-01,11.34
1880-11-01,11.69
1880-12-01,11.92
1881-01-01,12.63
1881-02-01,12.85
1881-03-01,13.0
1881-04-01,13.23
1881-05-01,13.83
1881-06-01,14.0
1881-07-01,13.8
1881-08-01,13.48
1881-09-01,13.89
1881-10-01,13.67
1881-11-01,14.07
1881-12-01,13.66
1882-01-01,13.45
1882-02-01,13.16
1882-03-01,13.14
1882-04-01,13.14
1882-05-01,12.98
1882-06-01,12.91
1882-07-01,13.95
1882-08-01,14.37
1882-09-01,14.51
1882-10-01,14.12
1882-11-01,13.51
1882-12-01,13.58
1883-01-01,13.51
1883-02-01,13.21
1883-03-01,13.69
1883-04-01,13.98
1883-05-01,13.74
1883-06-01,13.86
1883-07-01,13.98
1883-08-01,13.34
1883-09-01,13.49
1883-10-01,13.12
1883-11-01,13.65
1883-12-01,13.35
1884-01-01,13.28
1884-02-01,13.64
1884-03-01,13.95
1884-04-01,13.68
1884-05-01,12.92
1884-06-01,12.39
1884-07-01,12.74
1884-08-01,13.94
1884-09-01,13.91
1884-10-01,13.45
1884-11-01,13.59
1884-12-01,14.0
1885-01-01,13.68
1885-02-01,14.57
1885-03-01,14.6
1885-04-01,14.57
1885-05-01,14.9
1885-06-01,14.83
1885-07-01,15.38
1885-08-01,16.82
1885-09-01,16.61
1885-10-01,17.57
1885-11-01,19.41
1885-12-01,19.26
1886-01-01,18.57
1886-02-01,18.93
1886-03-01,17.9
1886-04-01,17.66
1886-05-01,16.73
1886-06-01,17.5
1886-07-01,17.19
1886-08-01,17.32
1886-09-01,17.22
1886-10-01,17.66
1886-11-01,17.55
1886-12-01,17.09
1887-01-01,16.91
1887-02-01,16.29
1887-03-01,16.68
1887-04-01,17.06
1887-05-01,17.35
1887-06-01,16.37
1887-07-01,15.97
1887-08-01,15.57
1887-09-01,15.37
1887-10-01,14.44
1887-11-01,14.72
1887-12-01,14.64
1888-01-01,15.17
1888-02-01,15.53
1888-03-01,14.94
1888-04-01,15.45
1888-05-01,16.16
1888-06-01,16.16
1888-07-01,17.13
1888-08-01,18.1
1888-09-01,18.55
1888-10-01,19.11
1888-11-01,19.41
1888-12-01,19.77
1889-01-01,20.15
1889-02-01,19.63
1889-03-01,19.22
1889-04-01,19.19
1889-05-01,19.0
1889-06-01,19.32
1889-07-01,18.93
1889-08-01,18.52
1889-09-01,18.97
1889-10-01,18.62
1889-11-01,17.83
1889-12-01,17.73
1890-01-01,17.93
1890-02-01,17.73
1890-03-01,17.6
1890-04-01,17.97
1890-05-01,18.73
1890-06-01,18.6
1890-07-01,19.1
1890-08-01,18.66
1890-09-01,18.34
1890-10-01,17.52
1890-11-01,16.24
1890-12-01,15.86
1891-01-01,16.69
1891-02-01,16.33
1891-03-01,16.03
1891-04-01,16.03
1891-05-01,15.97
1891-06-01,15.16
1891-07-01,14.91
1891-08-01,15.41
1891-09-01,16.15
1891-10-01,16.15
1891-11-01,15.44
1891-12-01,15.91
1892-01-01,16.21
1892-02-01,15.77
1892-03-01,15.94
1892-04-01,15.91
1892-05-01,15.91
1892-06-01,15.39
1892-07-01,15.39
1892-08-01,15.61
1892-09-01,15.22
1892-10-01,15.11
1892-11-01,15.05
1892-12-01,14.89
1893-01-01,15.58
1893-02-01,15.74
1893-03-01,15.62
1893-04-01,16.09
1893-05-01,15.13
1893-06-01,14.41
1893-07-01,13.48
1893-08-01,13.6
1893-09-01,15.07
1893-10-01,16.07
1893-11-01,16.93
1893-12-01,16.96
1894-01-01,17.28
1894-02-01,18.25
1894-03-01,18.79
1894-04-01,19.87
1894-05-01,20.0
1894-06-01,20.67
1894-07-01,21.25
1894-08-01,23.21
1894-09-01,23.58
1894-10-01,24.11
1894-11-01,25.53
1894-12-01,26.88
1895-01-01,25.0
1895-02-01,23.28
1895-03-01,23.28
1895-04-01,23.0
1895-05-01,23.05
1895-06-01,22.38
1895-07-01,22.48
1895-08-01,21.77
1895-09-01,20.96
1895-10-01,19.79
1895-11-01,19.13
1895-12-01,17.28
1896-01-01,17.08
1896-02-01,18.54
1896-03-01,18.25
1896-04-01,18.42
1896-05-01,19.13
1896-06-01,18.78
1896-07-01,17.57
1896-08-01,17.32
1896-09-01,18.23
1896-10-01,18.64
1896-11-01,20.86
1896-12-01,20.1
1897-01-01,19.18
1897-02-01,18.17
1897-03-01,17.46
1897-04-01,16.92
1897-05-01,16.32
1897-06-01,16.42
1897-07-01,16.52
1897-08-01,16.96
1897-09-01,17.17
1897-10-01,16.62
1897-11-01,15.5
1897-12-01,15.32
1898-01-01,15.74
1898-02-01,15.22
1898-03-01,14.53
1898-04-01,14.28
1898-05-01,14.76
1898-06-01,15.33
1898-07-01,15.39
1898-08-01,15.5
1898-09-01,15.47
1898-10-01,15.15
1898-11-01,15.2
1898-12-01,16.14
1899-01-01,16.89
1899-02-01,17.05
1899-03-01,16.84
1899-04-01,16.62
1899-05-01,15.53
1899-06-01,14.45
1899-07-01,14.6
1899-08-01,14.64
1899-09-01,14.16
1899-10-01,13.78
1899-11-01,13.74
1899-12-01,12.54
1900-01-01,12.71
1900-02-01,12.94
1900-03-01,13.04
1900-04-01,13.21
1900-05-01,12.58
1900-06-01,12.21
1900-07-01,12.21
1900-08-01,12.38
1900-09-01,12.08
1900-10-01,12.52
1900-11-01,13.5
1900-12-01,14.31
1901-01-01,14.73
1901-02-01,15.1
1901-03-01,15.33
1901-04-01,16.61
1901-05-01,15.78
1901-06-01,17.35
1901-07-01,16.18
1901-08-01,16.41
1901-09-01,16.0
1901-10-01,15.82
1901-11-01,16.16
1901-12-01,15.9
1902-01-01,15.92
1902-02-01,15.75
1902-03-01,15.47
1902-04-01,15.7
1902-05-01,15.38
1902-06-01,14.75
1902-07-01,14.83
1902-08-01,14.97
1902-09-01,14.75
1902-10-01,14.05
1902-11-01,13.29
1902-12-01,12.78
1903-01-01,13.65
1903-02-01,13.79
1903-03-01,13.25
1903-04-01,12.92
1903-05-01,12.88
1903-06-01,12.38
1903-07-01,12.02
1903-08-01,11.84
1903-09-01,11.55
1903-10-01,11.38
1903-11-01,11.63
1903-12-01,12.4
1904-01-01,12.6
1904-02-01,12.5
1904-03-01,12.46
1904-04-01,12.77
1904-05-01,12.75
1904-06-01,12.76
1904-07-01,13.29
1904-08-01,14.02
1904-09-01,14.64
1904-10-01,15.5
1904-11-01,16.67
1904-12-01,16.84
1905-01-01,16.53
1905-02-01,16.92
1905-03-01,16.76
1905-04-01,16.25
1905-05-01,14.91
1905-06-01,14.83
1905-07-01,14.78
1905-08-01,15.08
1905-09-01,14.65
1905-10-01,14.63
1905-11-01,14.11
1905-12-01,14.24
1906-01-01,14.51
1906-02-01,14.2
1906-03-01,13.86
1906-04-01,13.47
1906-05-01,12.93
1906-06-01,12.92
1906-07-01,12.58
1906-08-01,13.33
1906-09-01,13.55
1906-10-01,12.97
1906-11-01,13.24
1906-12-01,12.95
1907-01-01,12.75
1907-02-01,12.51
1907-03-01,11.28
1907-04-01,11.49
1907-05-01,11.25
1907-06-01,11.04
1907-07-01,11.63
1907-08-01,10.91
1907-09-01,10.8
1907-10-01,9.76
1907-11-01,9.33
1907-12-01,9.95
1908-01-01,10.54
1908-02-01,10.15
1908-03-01,10.73
1908-04-01,11.49
1908-05-01,12.11
1908-06-01,12.32
1908-07-01,12.98
1908-08-01,13.54
1908-09-01,13.62
1908-10-01,14.02
1908-11-01,14.97
1908-12-01,15.57
1909-01-01,15.1
1909-02-01,14.43
1909-03-01,14.16
1909-04-01,14.56
1909-05-01,14.59
1909-06-01,14.63
1909-07-01,14.41
1909-08-01,14.54
1909-09-01,14.15
1909-10-01,14.01
1909-11-01,13.57
1909-12-01,13.55
1910-01-01,13.26
1910-02-01,12.79
1910-03-01,13.28
1910-04-01,12.96
1910-05-01,12.75
1910-06-01,12.13
1910-07-01,11.68
1910-08-01,11.96
1910-09-01,12.04
1910-10-01,12.59
1910-11-01,12.75
1910-12-01,12.4
1911-01-01,12.88
1911-02-01,13.28
1911-03-01,13.31
1911-04-01,13.65
1911-05-01,14.15
1911-06-01,14.65
1911-07-01,14.82
1911-08-01,14.33
1911-09-01,13.76
1911-10-01,14.3
1911-11-01,15.12
1911-12-01,15.44
1912-01-01,15.2
1912-02-01,14.82
1912-03-01,15.0
1912-04-01,15.22
1912-05-01,14.97
1912-06-01,14.74
1912-07-01,14.75
1912-08-01,14.86
1912-09-01,14.72
1912-10-01,14.47
1912-11-01,14.1
1912-12-01,13.4
1913-01-01,13.48
1913-02-01,13.0
1913-03-01,12.94
1913-04-01,12.93
1913-05-01,12.76
1913-06-01,12.12
1913-07-01,12.47
1913-08-01,13.0
1913-09-01,13.12
1913-10-01,12.91
1913-11-01,12.58
1913-12-01,12.76
1914-01-01,13.5
1914-02-01,13.9
1914-03-01,13.87
1914-04-01,13.76
1914-05-01,14.09
1914-06-01,14.02
1914-07-01,13.47
1914-08-01,13.71
1914-09-01,13.96
1914-10-01,14.22
1914-11-01,14.49
1914-12-01,14.13
1915-01-01,13.6
1915-02-01,12.72
1915-03-01,12.41
1915-04-01,12.72
1915-05-01,11.87
1915-06-01,11.49
1915-07-01,10.97
1915-08-01,10.99
1915-09-01,10.96
1915-10-01,11.15
1915-11-01,11.13
1915-12-01,10.77
1916-01-01,10.03
1916-02-01,9.29
1916-03-01,8.82
1916-04-01,8.25
1916-05-01,8.06
1916-06-01,7.74
1916-07-01,7.33
1916-08-01,7.1
1916-09-01,7.07
1916-10-01,7.03
1916-11-01,6.9
1916-12-01,6.41
1917-01-01,6.34
1917-02-01,6.06
1917-03-01,6.33
1917-04-01,6.32
1917-05-01,6.2
1917-06-01,6.41
1917-07-01,6.37
1917-08-01,6.27
1917-09-01,6.06
1917-10-01,5.82
1917-11-01,5.42
1917-12-01,5.31
1918-01-01,5.72
1918-02-01,6.04
1918-03-01,6.02
1918-04-01,6.11
1918-05-01,6.41
1918-06-01,6.54
1918-07-01,6.77
1918-08-01,6.95
1918-09-01,7.11
1918-10-01,7.56
1918-11-01,7.98
1918-12-01,7.98
1919-01-01,7.93
1919-02-01,8.04
1919-03-01,8.29
1919-04-01,8.65
1919-05-01,9.25
1919-06-01,9.59
1919-07-01,9.91
1919-08-01,9.34
1919-09-01,9.48
1919-10-01,10.07
1919-11-01,9.78
1919-12-01,9.59
1920-01-01,9.6
1920-02-01,8.9
1920-03-01,9.63
1920-04-01,9.66
1920-05-01,9.16
1920-06-01,9.1
1920-07-01,9.31
1920-08-01,9.05
1920-09-01,9.48
1920-10-01,9.61
1920-11-01,9.23
1920-12-01,8.51
1921-01-01,9.36
1921-02-01,9.81
1921-03-01,10.27
1921-04-01,10.97
1921-05-01,12.07
1921-06-01,11.91
1921-07-01,13.06
1921-08-01,14.02
1921-09-01,15.74
1921-10-01,17.63
1921-11-01,21.39
1921-12-01,25.21
1922-01-01,22.81
1922-02-01,20.72
1922-03-01,19.85
1922-04-01,19.55
1922-05-01,18.54
1922-06-01,17.24
1922-07-01,16.37
1922-08-01,15.77
1922-09-01,15.36
1922-10-01,14.94
1922-11-01,13.33
1922-12-01,12.72
1923-01-01,12.54
1923-02-01,12.54
1923-03-01,12.41
1923-04-01,11.52
1923-05-01,10.7
1923-06-01,9.93
1923-07-01,9.37
1923-08-01,9.2
1923-09-01,8.96
1923-10-01,8.63
1923-11-01,8.61
1923-12-01,8.72
1924-01-01,9.01
1924-02-01,9.14
1924-03-01,8.97
1924-04-01,8.85
1924-05-01,8.82
1924-06-01,8.99
1924-07-01,9.51
1924-08-01,9.83
1924-09-01,9.84
1924-10-01,9.71
1924-11-01,10.37
1924-12-01,10.92
1925-01-01,11.02
1925-02-01,10.89
1925-03-01,10.29
1925-04-01,9.88
1925-05-01,10.01
1925-06-01,9.91
1925-07-01,9.91
1925-08-01,9.87
1925-09-01,9.84
1925-10-01,9.91
1925-11-01,10.05
1925-12-01,9.97
1926-01-01,10.12
1926-02-01,10.14
1926-03-01,9.45
1926-04-01,9.18
1926-05-01,9.25
1926-06-01,9.69
1926-07-01,10.18
1926-08-01,10.58
1926-09-01,10.74
1926-10-01,10.5
1926-11-01,10.64
1926-12-01,10.88
1927-01-01,10.89
1927-02-01,11.2
1927-03-01,11.46
1927-04-01,11.84
1927-05-01,12.35
1927-06-01,12.62
1927-07-01,13.12
1927-08-01,13.94
1927-09-01,14.86
1927-10-01,14.76
1927-11-01,15.23
1927-12-01,15.73
1928-01-01,15.51
1928-02-01,14.93
1928-03-01,15.47
1928-04-01,16.17
1928-05-01,16.39
1928-06-01,15.22
1928-07-01,15.09
1928-08-01,15.33
1928-09-01,16.16
1928-10-01,16.12
1928-11-01,16.96
1928-12-01,16.78
1929-01-01,17.76
1929-02-01,17.6
1929-03-01,17.66
1929-04-01,17.32
1929-05-01,17.34
1929-06-01,17.43
1929-07-01,18.86
1929-08-01,19.67
1929-09-01,20.19
1929-10-01,17.83
1929-11-01,12.94
1929-12-01,13.29
1930-01-01,13.92
1930-02-01,15.38
1930-03-01,16.51
1930-04-01,18.19
1930-05-01,17.87
1930-06-01,16.68
1930-07-01,16.98
1930-08-01,17.62
1930-09-01,18.39
1930-10-01,16.59
1930-11-01,16.29
1930-12-01,15.99
1931-01-01,17.0
1931-02-01,18.9
1931-03-01,19.92
1931-04-01,18.66
1931-05-01,17.48
1931-06-01,17.56
1931-07-01,18.86
1931-08-01,19.04
1931-09-01,16.9
1931-10-01,15.3
1931-11-01,16.23
1931-12-01,13.84
1932-01-01,14.07
1932-02-01,14.19
1932-03-01,14.75
1932-04-01,11.63
1932-05-01,10.4
1932-06-01,9.35
1932-07-01,10.22
1932-08-01,15.69
1932-09-01,17.96
1932-10-01,16.18
1932-11-01,16.4
1932-12-01,16.63
1933-01-01,17.29
1933-02-01,14.88
1933-03-01,14.83
1933-04-01,16.4
1933-05-01,21.12
1933-06-01,24.16
1933-07-01,26.12
1933-08-01,24.81
1933-09-01,24.6
1933-10-01,21.7
1933-11-01,22.23
1933-12-01,22.66
1934-01-01,23.95
1934-02-01,25.16
1934-03-01,23.87
1934-04-01,23.74
1934-05-01,21.33
1934-06-01,21.15
1934-07-01,20.15
1934-08-01,19.36
1934-09-01,18.5
1934-10-01,18.65
1934-11-01,18.78
1934-12-01,18.9
1935-01-01,16.25
1935-02-01,13.82
1935-03-01,11.52
1935-04-01,11.89
1935-05-01,12.5
1935-06-01,12.49
1935-07-01,13.48
1935-08-01,14.58
1935-09-01,15.28
1935-10-01,15.68
1935-11-01,17.16
1935-12-01,17.16
1936-01-01,17.87
1936-02-01,18.65
1936-03-01,18.81
1936-04-01,18.15
1936-05-01,16.58
1936-06-01,16.69
1936-07-01,17.29
1936-08-01,17.25
1936-09-01,17.07
1936-10-01,17.41
1936-11-01,17.54
1936-12-01,16.73
1937-01-01,16.75
1937-02-01,16.77
1937-03-01,16.3
1937-04-01,15.05
1937-05-01,14.13
1937-06-01,13.37
1937-07-01,13.92
1937-08-01,13.95
1937-09-01,11.78
1937-10-01,10.32
1937-11-01,9.66
1937-12-01,9.75
1938-01-01,10.47
1938-02-01,10.82
1938-03-01,10.63
1938-04-01,10.99
1938-05-01,11.88
1938-06-01,13.26
1938-07-01,17.0
1938-08-01,18.37
1938-09-01,18.95
1938-10-01,20.73
1938-11-01,20.75
1938-12-01,19.83
1939-01-01,18.94
1939-02-01,17.97
1939-03-01,17.45
1939-04-01,14.84
1939-05-01,15.18
1939-06-01,15.04
1939-07-01,15.01
1939-08-01,14.61
1939-09-01,15.77
1939-10-01,15.36
1939-11-01,14.56
1939-12-01,13.74
1940-01-01,13.23
1940-02-01,12.73
1940-03-01,12.27
1940-04-01,12.15
1940-05-01,10.37
1940-06-01,9.3
1940-07-01,9.51
1940-08-01,9.53
1940-09-01,9.84
1940-10-01,10.03
1940-11-01,10.36
1940-12-01,10.03
1941-01-01,10.05
1941-02-01,9.33
1941-03-01,9.39
1941-04-01,9.01
1941-05-01,8.73
1941-06-01,8.95
1941-07-01,9.16
1941-08-01,8.8
1941-09-01,8.61
1941-10-01,8.33
1941-11-01,8.01
1941-12-01,7.55
1942-01-01,7.97
1942-02-01,8.01
1942-03-01,7.87
1942-04-01,7.69
